Id,CreationDate,PostId,RelatedPostId,LinkTypeId
25,2014-01-21T21:04:25.230,29,25,3
89,2014-01-21T21:42:09.103,83,50,1
95,2014-01-21T21:50:41.313,86,2,1
101,2014-01-21T22:07:35.783,47,99,3
102,2014-01-21T22:13:51.380,74,3,1
103,2014-01-21T22:21:03.577,64,50,1
104,2014-01-21T22:26:32.303,105,5,1
123,2014-01-21T22:50:37.350,115,99,1
135,2014-01-21T23:16:07.523,123,118,1
147,2014-01-22T01:29:15.817,118,123,3
166,2014-01-22T04:57:58.997,149,138,1
167,2014-01-22T04:57:58.997,149,127,1
209,2014-01-22T14:08:19.980,115,99,3
250,2014-01-22T17:04:49.340,10,171,1
278,2014-01-22T18:52:31.443,204,99,1
340,2014-01-23T08:31:01.367,255,2,1
375,2014-01-23T15:56:40.503,254,105,1
376,2014-01-23T16:41:41.700,256,53,1
404,2014-01-23T18:54:50.767,269,121,1
453,2014-01-25T01:54:44.137,313,250,1
465,2014-01-25T05:39:29.630,22,300,1
504,2014-01-27T09:37:56.727,340,181,1
505,2014-01-27T12:04:07.693,351,300,1
516,2014-01-27T22:22:07.817,354,312,1
517,2014-01-28T05:08:42.850,371,200,1
518,2014-01-28T05:08:42.850,371,63,1
526,2014-01-28T11:43:50.330,380,278,1
532,2014-01-28T12:08:29.043,369,3,1
548,2014-01-28T22:52:53.383,372,385,1
614,2014-01-29T21:58:40.043,435,354,1
626,2014-01-30T15:43:19.217,440,28,1
644,2014-01-31T16:01:15.017,463,28,1
673,2014-01-31T21:59:01.850,479,16,1
679,2014-01-31T23:45:12.830,369,3,3
719,2014-02-04T14:18:43.197,515,153,1
758,2014-02-05T01:27:24.473,518,501,1
759,2014-02-05T02:09:37.687,536,16,1
789,2014-02-05T20:07:58.787,543,521,1
820,2014-02-06T08:32:01.417,560,5,1
829,2014-02-07T04:14:02.410,479,16,3
855,2014-02-10T15:50:48.970,574,583,1
868,2014-02-13T02:26:43.410,596,212,1
889,2014-02-13T17:18:30.753,602,212,1
890,2014-02-13T17:18:30.753,602,596,1
899,2014-02-13T17:20:01.903,596,602,1
914,2014-02-15T03:18:09.793,607,597,1
938,2014-02-16T07:10:43.110,621,169,1
951,2014-02-17T22:29:04.723,605,50,1
1457,2014-02-26T19:14:40.453,639,99,1
1458,2014-02-26T20:26:07.263,639,99,3
1654,2014-03-07T21:27:02.137,649,183,1
1660,2014-03-08T18:47:58.113,655,654,1
1696,2014-03-11T16:18:33.267,649,183,3
1780,2014-03-21T11:38:24.650,680,110,1
1900,2014-03-29T14:57:04.520,697,430,1
2019,2014-04-10T19:12:19.253,702,8,1
2068,2014-04-15T14:41:55.850,728,485,1
2147,2014-04-23T16:15:20.940,747,380,1
2187,2014-04-26T04:45:23.780,745,654,3
