Id,TagName,Count,ExcerptPostId,WikiPostId
1,hops,16,5062,5061
2,history,78,7872,7871
4,brewing,69,4880,4879
5,serving,34,5109,5108
6,temperature,28,304,303
7,pilsener,4,,
9,inebriation,4,,
10,ale,14,5122,5121
11,lager,15,5040,5039
12,breweries,55,7878,7877
14,retail-availiability,3,,
15,distribution,13,,
16,mulling,3,5142,5141
17,ipa,24,619,618
18,hangover,8,,
19,carbonation,12,,
20,drinking,36,7896,7895
21,draught,11,,
22,bottling,13,5116,5115
23,storage,58,615,614
24,glassware,26,5107,5106
26,aroma,4,,
27,imperal-stout,5,5140,5139
28,terminology,21,7392,7391
30,growlers,8,393,392
31,porter,7,,
32,stout,18,391,390
33,ingredients,45,7894,7893
34,saison,3,424,423
35,age,8,,
36,varieties,5,,
37,aging,20,5120,5119
38,abv,10,613,612
40,health,57,285,284
41,water,4,,
42,taste,112,283,282
43,yeast,15,956,955
44,pouring,8,,
48,skunking,3,5152,5151
49,3.2-beer,2,848,847
51,local,25,308,307
54,pairing,38,450,449
56,buying,11,,
59,bottle-conditioning,7,,
60,cellaring,4,302,301
61,freshness,8,,
63,style,36,617,616
66,garnish,2,,
69,preparation-for-drinking,8,,
71,classification,11,,
75,specialty-beers,55,7874,7873
76,trappist,17,5124,5123
77,lambic,3,5148,5147
79,preservation,10,,
82,alcohol-level,22,7900,7899
83,laws,24,7898,7897
84,poland,1,281,280
86,keg,12,5146,5145
87,cicerone,3,,
88,restaurants,4,,
94,gas,3,,
96,ibu,5,2132,2131
97,production,8,,
98,schwarzbier,2,306,305
103,competition,3,,
109,cooking,10,,
110,nutrition,7,,
120,non-alcoholic,17,,
125,head,6,504,503
127,colour,5,,
129,shandy,2,5150,5149
130,german-beers,19,5114,5113
132,united-states,10,,
133,bottles,16,5118,5117
134,foam,7,,
136,cans,9,5136,5135
137,additives,3,,
138,resources,3,,
140,filtering,4,,
142,recommendations,70,7876,7875
144,finings,2,593,592
153,hefeweizen,5,5144,5143
155,flavor,38,3271,3270
158,pennsylvania,4,923,922
166,cooling,5,,
167,fermentation,13,7086,7085
168,liquor,17,7904,7903
170,malt,2,3426,3425
172,micropub,7,,
175,beer-cocktails,8,5138,5137
176,science,6,,
181,deposit,1,5129,5128
182,cider,7,4860,4859
184,imperial-ipa,3,5133,5132
186,wine,122,7870,7869
188,tequila,8,5053,5052
189,scotch,17,5131,5130
190,sake,6,5055,5054
192,red-wine,27,5017,5016
193,whiskey,47,5049,5048
194,bourbon,6,5051,5050
200,cocktails,31,5105,5104
201,vodka,14,5111,5110
202,gin,13,5103,5102
204,craft-beers,27,7902,7901
208,belgian-beers,8,,
211,germany,3,,
213,distillation,10,6445,6444
214,spirits,47,7892,7891
215,mead,10,6251,6250
217,sour-beer,3,,
220,occasions,3,,
231,distilleries,6,,
237,bartending,4,,
239,holidays,7,,
240,absinthe,4,7802,7801
244,prohibition,4,,
250,home-brew,12,,
253,tradition,5,,
256,mixers,7,,
259,liqueur,12,8005,8004
262,price,8,8013,8012
263,alcohol,20,,
265,drink,22,7906,7905
273,substitutions,3,,
276,differences,5,,
280,quality,7,,
283,identification,5,,
286,canada,5,,
287,europe,4,,
295,consumption,2,,
301,champagne,6,,
304,rum,8,,
306,singapore,2,,
307,australia,4,,
308,dubbel,3,,
309,tripel,4,,
314,online,2,7506,7505
324,barrels,2,,
326,whisky,5,7987,7986
328,home-brewing,3,,
329,layered-drinks,2,,
335,brittany,2,,
336,france,2,,
337,cognac,2,,
339,brazil,2,,
342,mushrooms,1,8011,8010
343,recipes,3,,
349,gluten-free,2,,
350,asia,1,,
351,labels,1,,
352,bitters,1,,
