Id,CreationDate,PostId,RelatedPostId,LinkTypeId
31,2010-08-26T20:33:50.797,262,261,1
47,2010-08-29T21:51:09.093,401,244,1
48,2010-08-30T01:57:19.137,132,3,1
65,2010-08-31T19:13:55.077,367,27,1
66,2010-08-31T19:13:55.077,367,246,1
78,2010-09-01T21:49:41.197,513,515,1
79,2010-09-01T21:49:41.197,513,518,1
82,2010-09-02T00:17:39.220,525,478,1
92,2010-09-02T14:30:16.120,562,244,1
238,2010-09-03T01:01:31.437,616,471,1
258,2010-09-03T14:43:00.863,630,471,1
259,2010-09-03T14:43:00.863,630,41,1
260,2010-09-03T14:43:00.863,630,603,1
261,2010-09-03T14:43:00.863,630,89,1
343,2010-09-06T20:19:06.393,725,244,1
6677,2010-09-09T04:12:30.600,689,573,1
9284,2010-09-10T22:01:24.740,849,210,1
11530,2010-09-13T10:40:17.707,790,689,1
13434,2010-09-14T14:22:20.080,803,244,1
13460,2010-09-14T14:34:25.290,52,244,1
13565,2010-09-14T15:30:32.187,910,623,1
16691,2010-09-16T09:23:16.697,236,141,1
17020,2010-09-16T18:07:02.663,205,164,1
18032,2010-09-17T22:01:53.590,716,130,1
19883,2010-09-20T12:00:13.343,1061,1,1
21380,2010-09-21T20:57:27.263,369,1112,1
22115,2010-09-22T17:52:45.387,777,515,1
22116,2010-09-22T17:52:45.387,777,513,1
23810,2010-09-24T03:44:07.630,321,3,1
25103,2010-09-25T19:01:43.857,1007,51,1
25635,2010-09-26T20:45:26.207,1005,244,1
25660,2010-09-26T20:52:08.380,1121,743,1
25926,2010-09-27T06:49:20.150,1041,429,1
26314,2010-09-28T04:34:09.033,1055,244,1
26956,2010-09-29T01:39:07.160,1070,633,1
27348,2010-09-30T01:14:47.293,1247,689,1
27349,2010-09-30T01:14:47.293,1247,695,1
27788,2010-09-30T08:42:04.867,1157,1147,1
28348,2010-10-01T01:42:32.227,1256,1257,1
28349,2010-10-01T01:42:32.227,1256,394,1
28864,2010-10-01T20:02:47.930,1257,1256,1
28890,2010-10-01T21:05:14.773,1073,623,1
29757,2010-10-02T17:34:04.160,1311,244,1
30008,2010-10-02T19:51:20.083,1285,1282,1
32558,2010-10-05T14:01:10.900,1359,1195,1
33363,2010-10-06T06:24:53.060,14,874,1
33756,2010-10-06T14:23:28.920,1414,244,1
33905,2010-10-06T18:56:06.083,1147,89,1
33906,2010-10-06T18:56:06.083,1147,731,1
33955,2010-10-06T22:19:20.330,186,816,1
33981,2010-10-06T23:35:57.630,1376,1221,1
34418,2010-10-07T06:32:33.010,420,244,1
35033,2010-10-07T18:57:03.707,573,244,1
35034,2010-10-07T18:57:03.707,573,205,1
35035,2010-10-07T18:57:03.707,573,520,1
35715,2010-10-08T08:11:18.640,2,6,1
36512,2010-10-09T06:46:39.410,1457,1349,1
36586,2010-10-09T08:43:36.557,1385,1466,1
36587,2010-10-09T08:43:36.557,1385,370,1
36884,2010-10-09T20:51:37.737,1483,856,1
36887,2010-10-09T21:11:34.457,1340,730,1
37395,2010-10-10T18:31:05.617,1491,51,1
37396,2010-10-10T18:31:05.617,1491,1007,1
37662,2010-10-10T22:01:09.560,827,845,1
38612,2010-10-11T19:02:09.023,1505,1103,1
39315,2010-10-12T12:57:01.343,1507,692,1
39652,2010-10-13T01:42:08.173,1528,1452,1
40070,2010-10-13T18:22:55.907,1548,167,1
40434,2010-10-13T23:02:35.393,730,1340,1
40511,2010-10-14T00:47:17.720,1195,244,1
41013,2010-10-14T11:07:10.740,520,166,1
41014,2010-10-14T11:07:10.740,520,573,1
41509,2010-10-14T17:23:34.050,338,1396,1
41877,2010-10-14T18:46:31.783,1560,1195,1
41927,2010-10-14T19:10:30.667,1595,555,1
42151,2010-10-14T21:57:06.927,1275,827,1
42617,2010-10-15T09:10:30.727,1551,1613,1
42864,2010-10-15T11:53:08.133,1613,1551,1
42867,2010-10-15T11:56:24.887,1550,167,1
42990,2010-10-15T13:10:21.310,167,1548,1
43910,2010-10-16T04:39:38.363,1549,1505,1
44080,2010-10-16T15:19:20.983,938,1549,1
44419,2010-10-17T01:37:08.513,1601,244,1
46159,2010-10-18T04:50:26.410,468,835,1
46190,2010-10-18T05:12:57.000,1696,1507,1
