Id,TagName,Count,ExcerptPostId,WikiPostId
1,schrader,27,,
2,presta,50,,
4,chain,766,3176,3175
5,lubricant,135,5375,5374
6,frames,698,5390,5389
10,single-speed,182,12807,12806
12,tire,1053,3116,3115
13,26-inch,27,4855,4854
19,full-suspension,76,44757,44756
21,derailleur,582,4280,4279
23,price,33,50921,50920
24,wheels,930,3182,3181
27,racing,163,5505,5504
28,gears,598,5427,5426
31,crack,41,,
32,brakes,960,4999,4998
33,puncture,199,5596,5595
35,cleaning,136,5517,5516
36,bottom-bracket,503,5515,5514
37,creak,36,51656,51655
38,clothes,138,5003,5002
39,spandex,4,,
40,noise,155,38917,38916
41,disc-brake,468,5503,5502
44,ergonomics,64,4198,4197
45,mechanical,132,3178,3177
46,valves,65,44690,44689
47,storage,78,44844,44843
49,dropouts,50,25399,25398
52,pedals,313,5373,5372
54,maintenance,889,2498,2497
55,commuter,398,2500,2499
56,bmx,152,44842,44841
60,shimano,998,4842,4841
68,hydraulic-disc-brake,298,44692,44691
72,road-bike,1297,3064,3063
73,security,91,5414,5413
74,lock,112,25437,25436
75,fork,404,5521,5520
77,drivetrain,260,6949,6948
78,maps,33,,
79,bikeroutes,44,,
80,trails,31,,
81,tools,150,5594,5593
82,iphone,11,,
87,coaster,35,63103,63102
93,hub,354,13001,13000
94,training,217,5371,5370
95,clipless,75,6524,6523
96,cargo,77,2511,2510
98,modification,51,,
99,performance,52,,
100,technique,125,44753,44752
101,resource,6,,
102,dynamo-hub,40,23511,23510
103,bearings,152,44759,44758
104,paintjob,69,,
109,heart-rate,37,38493,38492
110,recumbent,66,9276,9275
112,injury,43,,
115,city,44,,
116,headset,168,38815,38814
118,terminology,52,55967,55966
122,brake-pads,100,21701,21700
123,bike-fit,267,5852,5851
125,touring,247,2993,2992
128,conversion,130,44789,44788
130,seatpost,188,38813,38812
131,saddle,214,6350,6349
134,visibility,18,,
135,traffic,83,38817,38816
136,car-rack,33,37079,37078
137,fixed-gear,183,5519,5518
138,theft,54,,
140,rim-brake,123,38819,38818
141,weight,101,41787,41786
142,distance-riding,25,,
143,panniers,79,4322,4321
145,handlebars,263,4997,4996
146,grips,21,,
150,weather,50,,
151,wind,27,,
152,repair,605,5001,5000
155,cannondale,72,,
156,handling,26,,
158,stem,116,30977,30976
162,product-rec,206,3180,3179
165,utility-cycling,10,,
166,headlights,74,10797,10796
169,glossary,5,,
170,steel,96,,
171,aluminum,83,38515,38514
172,trailer,103,5523,5522
174,rack,132,5394,5393
175,luggage,32,,
177,rust,73,,
178,chainring,377,5507,5506
179,wear,64,15882,15881
182,shifter,432,6947,6946
186,children,61,,
187,learning,26,,
188,indoor,30,,
189,trainer,92,38863,38862
190,rain,49,,
191,sram,189,5498,5497
192,winter,169,2492,2491
193,snow,29,6951,6950
194,ice,16,,
195,freewheel,206,20551,20550
196,etiquette,36,13099,13098
197,29er,49,4853,4852
200,tricycle,55,45119,45118
202,transport-by-car,17,,
203,uk,63,4828,4827
206,helmets,102,21698,21697
207,legal,100,12999,12998
208,chamois,6,,
211,accessories,111,4517,4516
212,safety,436,2494,2493
213,power,99,24438,24437
215,urban-riding,38,,
217,nutrition,57,30857,30856
218,braze-on,12,,
219,cyclocross,153,7141,7140
221,folding-bicycle,100,5377,5376
222,inflation,42,38869,38868
223,cassette,470,15234,15233
224,crankset,665,23513,23512
225,co2,11,,
226,pump,113,44695,44694
227,hayes,9,,
229,build,104,5431,5430
232,unicycle,12,8768,8767
233,messenger-bags,8,,
234,spokes,182,38525,38524
235,wheel-truing,68,23936,23935
236,book,4,,
237,fitness,75,30855,30854
238,health,119,10801,10800
239,advocacy,20,15891,15890
240,cadence,46,29333,29332
241,headphones,5,,
243,bags,51,,
245,diy,57,4844,4843
247,bike-computer,86,38865,38864
248,tricks,20,55501,55500
253,sprocket,114,45018,45017
254,canada,13,,
255,technology,31,,
256,camera,16,,
259,speed,120,44728,44727
260,parts,355,5590,5589
